Indicators,Year,Age_Group,Gender,Value
"Mortality rate, infant, female (per 1,000 live births)",2002,0-1,Female,11.1
"Mortality rate, infant, male (per 1,000 live births)",2002,0-1,Male,13.6
Number of maternal deaths,2002,Reproductive Age,Total,140
"Nurses and midwives (per 1,000 people)",2002,Total,Total,1.06
Population ages 0-14 (% of total population),2002,Total,Total,26.32924264
Population ages 15-64 (% of total population),2002,Total,Total,67.31974883
Population ages 65 and above (% of total population),2002,Total,Total,6.351008535
"Population, female",2002,Total,Female,9985021
"Population, female (% of total population)",2002,Total,Female,50.41475325
"Population, male",2002,Total,Male,9820731
"Population, male (% of total population)",2002,Total,Male,49.58524675
"Population, total",2002,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2002,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2002,15-24,Male,0.1
Sex ratio at birth (male births per female births),2002,Total,Female,1.045
"Suicide mortality rate (per 100,000 population)",2002,Total,Total,29.95
"Suicide mortality rate, female (per 100,000 female population)",2002,Total,Female,11.62
"Suicide mortality rate, male (per 100,000 male population)",2002,Total,Male,48.59
"Survival to age 65, female (% of cohort)",2002,Total,Female,85.454525
"Survival to age 65, male (% of cohort)",2002,Total,Male,67.921552
Age dependency ratio (% of working-age population),2003,Total,Total,48.26696929
"Age dependency ratio, old (% of working-age population)",2003,Total,Total,9.549128881
"Age dependency ratio, young (% of working-age population)",2003,Total,Total,38.71784041
"Birth rate, crude (per 1,000 people)",2003,Total,Total,19.093
Current health expenditure (% of GDP),2003,Total,Total,3.64646697
"Death rate, crude (per 1,000 people)",2003,Total,Total,6.462
"Fertility rate, total (births per woman)",2003,Total,Total,2.301
"Hospital beds (per 1,000 people)",2003,Total,Total,3.19
"Incidence of HIV, all (per 1,000 uninfected population)",2003,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2003,Total,Total,2.29
"Incidence of tuberculosis (per 100,000 people)",2003,Total,Total,66
"Life expectancy at birth, female (years)",2003,Total,Female,76.624
"Life expectancy at birth, male (years)",2003,Total,Male,68.659
"Life expectancy at birth, total (years)",2003,Total,Total,72.442
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,Reproductive Age,Total,35
"Mortality rate, adult, female (per 1,000 female adults)",2003,Adult,Female,87.118
"Mortality rate, adult, male (per 1,000 male adults)",2003,Adult,Male,212.419
"Mortality rate, infant (per 1,000 live births)",2003,0-1,Total,12.1
"Mortality rate, infant, female (per 1,000 live births)",2003,0-1,Female,10.9
"Mortality rate, infant, male (per 1,000 live births)",2003,0-1,Male,13.3
Number of maternal deaths,2003,Reproductive Age,Total,130
Population ages 0-14 (% of total population),2003,Total,Total,26.1135974
Population ages 15-64 (% of total population),2003,Total,Total,67.44590632
Population ages 65 and above (% of total population),2003,Total,Total,6.44049628
"Population, female",2003,Total,Female,10079929
"Population, female (% of total population)",2003,Total,Female,50.52211054
"Population, male",2003,Total,Male,9871592
"Population, male (% of total population)",2003,Total,Male,49.47788946
"Population, total",2003,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2003,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2003,15-24,Male,0.1
Sex ratio at birth (male births per female births),2003,Total,Female,1.046
"Suicide mortality rate (per 100,000 population)",2003,Total,Total,28.19
"Suicide mortality rate, female (per 100,000 female population)",2003,Total,Female,11.17
